,SetName,Pieces,USRetailPrice,Availability
610,Pohatu - Uniter of Stone,90,14.99,Retail
611,Polar Explorer,78,10,Retail - limited
612,Police 4WD and Undercover Van,154,15,Retail
613,Police Dog Unit,96,12.99,Retail
614,Police Patrol,15,14.99,Retail
615,Pop Star,7,1.99,Retail
616,Pop Star Recording Studio,172,14.99,Retail
617,Porsche 918 Spyder,151,14.99,Retail
618,Porsche 919 Hybrid,163,14.99,Retail
619,Power Boat,174,14.99,Retail
620,Power Pitstop,66,10,Retail - limited
621,Power Puller,979,100,Retail
622,Princess Castle & Royal Pets,787,129.99,Retail
623,Prisoner Transport,98,12.99,Retail
624,Puppy Parade,145,14.99,Retail
625,Quake Beast,102,14.99,Retail
626,Quality Quidditch Supplies,120,10,Retail
627,Queen Anne's Revenge,1097,119.99,Retail
628,Quidditch Practice,128,13,Retail
629,RC Race Buggy,283,130,Retail
630,ROCKA,55,12.99,Retail
631,ROCKA Stealth Machine,89,14.99,Retail
632,Race Plane,178,14.99,Retail
633,Race Rig,104,12.99,Retail
634,Racers Turbo Pack,86,10,Retail - limited
635,Rail and Road Service Truck,122,13,Retail - limited
636,Railway Express,665,130,Retail
637,Rainbow Jewellery Stand,213,14.99,Retail
638,Rainforest Animals,215,14.99,Retail
639,Rally Car,13,14.99,Retail
640,Rambi the Rhino,106,10.99,Retail
641,Ramp Crash,145,14.99,Retail
642,Ramses Return,99,14.99,Retail
643,Raptor & Titanosaurus Tracking Mission,582,109.99,Retail
644,Raw-Jaw,52,12.99,Retail
645,Razcal's Glider,109,11.99,Retail
646,Rebel A-wing Starfighter,62,14.99,Retail
647,Rebel Alliance Battle Pack,101,12.99,Retail
648,Rebel Combat Frigate,936,109.99,Retail - limited
649,Rebel Snowspeeder,1457,130,Retail - limited
650,Rebel Trooper Battle Pack,120,14.99,Retail
651,Red,13,14.99,Retail
652,Red Creatures,221,14.99,Retail
653,Red Maniac,83,10,Retail
654,Red Rotors,145,14.99,Retail
655,Regular and Transparent Bricks,234,15,Retail
656,Repair Truck,118,12.99,Retail
657,Republic Attack Gunship,1034,119.99,Retail
658,Republic Frigate,1015,119.99,Retail
659,Republic Troopers vs. Sith Troopers,63,12.99,Retail
660,Rescue Bike,202,15,Retail
661,Resistance Bomber (standard pilot version),778,109.99,Retail
662,Resistance Trooper Battle Pack,112,12.99,Retail
663,Rex's Rexplorer!,1187,119.99,Retail
664,Ring of Fire,83,14.99,Retail
665,Ringmaster,6,1.99,Retail
666,Riverside Raid,88,11.99,Retail
667,Robo Platoon,218,10,Retail
668,Robot,6,1.99,Retail
669,Rocket Assembly & Transport,1055,149.99,Retail
670,Rocket Mech Armor,98,14.99,Retail
671,Rotor Rescue,149,12.99,Retail
672,Royal Roost,105,14.99,Retail
673,SPLITFACE,50,12.99,Retail
674,STORMER,69,12.99,Retail
675,STORMER Freeze Machine,88,14.99,Retail
676,SURGE,66,12.99,Retail
677,Salty the Dockyard Diesel,8,12.99,Retail
678,Samurai X Cave Chaos,1253,119.99,Retail - limited
679,Sandcrawler,1239,139.99,Retail
680,Scarecrow Fearful Face-off,141,14.99,Retail
681,Science Tower,1204,129.99,Retail - limited
682,Scorching Blades,77,12.99,Retail
683,Scorpion Attack,85,15,Retail
684,Scorpion Buggy,78,10,Retail
685,Scuderia Ferrari SF16-H,184,14.99,Retail
686,Seabed Scavenger,119,14.99,Retail
687,Seaplane,102,10.99,Retail
688,Seaside Harbour with Cargo Ship,1226,109.99,Retail
689,Secret Boxes,273,14.99,Retail
690,Security Smash,135,14.99,Retail
691,Senate Commando Troopers,106,12.99,Retail
692,Sensei Wu Fun Pack,58,14.99,Retail
693,Service Truck,1276,129.99,Retail
694,Shadow Troopers,95,12.99,Retail
695,Shanghai Surprise,102,12,Retail
696,Shark Skin,31,14.99,Retail - limited
697,Sherlock Holmes: Book Nook,1359,129.99,Retail - limited
698,Shipwreck Defense,84,12.99,Retail
699,Side Rider 55,111,10,Retail
700,Sith Troopers Battle Pack,105,14.99,Retail
701,Skateboard Street Park,69,10,Retail
702,Skater,8,1.99,Retail
703,Ski and Climbing Centre,1045,119.99,Retail
704,Skull Basher,72,14.99,Retail
705,Skull Scorpio,107,14.99,Retail
706,Skull Slicer,71,14.99,Retail
707,Skull Warrior,102,14.99,Retail
708,Skunk Attack,97,14.99,Retail
709,Sky Launch,115,12.99,Retail
710,Slammer G-Force,148,15,Retail
711,Slammer Raptor,144,10,Retail
712,Slammer Stunt Bike,152,15,Retail
713,Slave I - 20th Anniversary Edition,1007,119.99,Retail
714,Sleeping Beauty's Room,16,12.99,Retail
715,Sleeping Beauty's Royal Bedroom,96,12.99,Retail
716,Slimer Fun Pack,33,11.99,Retail
717,Slytherin,90,10,Retail
718,Snake Showdown,92,14.99,Retail
719,Snow Groomer,178,12.99,Retail
720,Snow Resort Off-Roader,141,14.99,Retail
721,Snow White's Cottage,28,14.99,Retail
722,Snow White's Forest Cottage,67,14.99,Retail
723,Snowboard Big Air Comp,82,15,Retail
724,Source Dragon of Motion,1716,149.99,Retail
725,Space Base and Rocket Launchpad,1422,134.99,Retail
726,Space Construction Mech,140,10.99,Retail
727,Space Port Value Pack,129,10,Retail - limited
728,Space Roller Coaster,874,109.99,Retail
729,Space Swarmer,86,11.99,Retail
730,Spaceman,9,1.99,Retail
731,Spaceport,586,119.99,Retail
732,Spartan Warrior,8,1.99,Retail
733,Speed Chasing,142,12.99,Retail
734,Speed Dragster,80,15,Retail
735,Speed Slammer Bike,126,10,Retail
736,Speed Wings,161,10,Retail
737,Speeder Bikes,93,10,Retail
738,Spider's Secret,128,12,Retail
739,Spider-Man Final Battle,900,109.99,Retail
740,Spider-Man Mech vs. Anti-Venom,107,14.99,Retail
741,Spider-Man Web-Bike Workshop,13,14.99,Retail
742,Spider-Man vs. Oscorp,808,139.99,Retail
743,Spider-Man's Street Chase,73,10,Retail
744,Spider-Man: Spider-Car Pursuit,55,12.99,Retail
745,Spider-Trike vs. Electro,70,12.99,Retail
746,Spidermonkey,21,14.99,Retail
747,Splash Koi Skin,33,14.99,Retail - limited
748,Springtime Animal Play Pack,382,15,Retail - limited
749,Stand with Lights,62,10,Retail
750,Star Wars Rebels Super Pack 2 in 1,1163,109.99,Retail - limited
751,Starfire Fun Pack,56,14.99,Retail
752,Statue of Liberty,1685,119.99,Retail - limited
753,Stay Puft Fun Pack,65,14.99,Retail
754,Stealth Hunter,164,14.99,Retail
755,Stephanie's Cool Convertible,130,14.99,Retail
756,Stephanie's Horse Carriage,58,12.99,Retail
757,Stephanie's Soccer Practice,119,14.99,Retail
758,Steve's Desert Expedition,75,10.99,Retail
759,Sting Striker,82,12.99,Retail
760,Storm Beast,109,14.99,Retail
761,Storming Enforcer,97,12.99,Retail
762,Stormtrooper Mech,138,15.99,Retail
763,Straight & Crossroad Plates,2,14.99,Retail
764,Straight & Curved Rails,16,15.99,Retail
765,Straight & T-Junction,2,14.99,Retail
766,Strainor's Saber Cycle,161,14.99,Retail
767,Street Speeder,165,12.99,Retail
768,Strong,91,12.99,Retail
769,Styracosaurus,19,10,Retail
770,Sunset Speeder,119,12.99,Retail
771,Super Car,1281,119.99,Retail
772,Super Mario World: Mario & Yoshi,1215,129.99,Retail
773,Super Racer,121,14.99,Retail
774,Super Soarer,130,14.99,Retail
775,Super Street Sensation,1437,130,Retail
776,Super Wrestler,5,1.99,Retail
777,Superman Fun Pack,48,14.99,Retail
778,Superman Mech vs. Lex Luthor,120,14.99,Retail
779,Superman: Metropolis Showdown,119,12.99,Retail
780,Supersonic RC,429,130,Retail
781,Surfer,6,1.99,Retail
782,Surfing Dogs and Scooter Adventure,113,14.99,Retail
783,Surprising Spider,153,12.99,Retail
784,Swamp Jump,91,14.99,Retail
785,Swampfire,22,14.99,Retail
786,Switch Tracks,8,15.99,Retail
787,Switching Tracks,8,15.99,Retail
788,T-16 Skyhopper,98,15,Retail
789,T-3 Trike,99,10,Retail
790,T-Junction & Curved Road Plates,2,14.99,Retail
791,THORNRAXX,44,12.99,Retail
792,TIE Fighter & X-wing Mash-up,1063,109.99,Retail
793,Taj Mahal,2022,119.99,Retail
794,Target Practice,101,14.99,Retail
795,Tatooine Battle Pack,97,14.99,Retail
796,Temple of the Golden Idol,1545,149.99,Retail
797,Thanos Mech Armor,113,14.99,Retail
798,The Batman Dragster: Catwoman Pursuit,92,10,Retail
799,The Battle of Helm's Deep,1368,129.99,Retail
800,The Bone Demon,1375,119.99,Retail
801,The Bowser Express Train,1392,119.99,Retail
802,The Final Challenge,60,10,Retail
803,The Fire Knight Mech,996,119.99,Retail
804,The Forbidden Forest,64,11.99,Retail
805,The Fortress,984,109.99,Retail
806,The Going Merry Pirate Ship,1376,139.99,Retail
807,The Great Fishing Boat,1609,129.99,Retail - limited
808,The Great Pyramid of Giza,1476,129.99,Retail
809,The Guardian Dragon,1650,149.99,Retail
810,The Hulk,39,14.99,Retail
811,The Illager Desert Patrol,105,14.99,Retail
812,The Iron Golem Fortress,868,109.99,Retail
813,The Joker,57,14.99,Retail
814,The Joker Balloon Escape,124,14.99,Retail
815,The Llama Village,1252,129.99,Retail
816,The Lonely Mountain,866,129.99,Retail
817,The Lord of the Rings: Balrog Book Nook,1201,129.99,Retail
818,The Malevolence,1101,119.99,Retail
819,The Mandalorian N-1 Starfighter Microfighter,88,15.99,Retail
820,The Melon Farm,69,14.99,Retail
821,The Mine,922,109.99,Retail - limited
822,The Modern Treehouse,909,119.99,Retail
823,The Mummy,90,11.99,Retail
824,The Nether Fight,84,14.99,Retail
825,The Ocean Monument,1122,119.99,Retail
826,The Office,1164,119.99,Retail - limited
827,The Onyx Cinder,1325,139.99,Retail
828,The Pirate Ship Voyage,166,14.99,Retail
829,The Princess Play Castle,150,14.99,Retail
830,The Razor Crest,1023,139.99,Retail
831,The Rexcelsior!,1826,149.99,Retail
832,The Rolling Stones,1998,149.99,Retail - limited
833,The Samurai Mech,154,14.99,Retail
834,The Ultimate Batmobile,1456,139.99,Retail
835,The Wizard Battle,113,12.99,Retail
836,Thunder,47,12.99,Retail
837,Thunder Fury,197,15,Retail
838,Thunder Raceway,160,14.99,Retail
839,Tina Goldstein Fun Pack,51,11.99,Retail
840,Tiny Accessories Store,129,10.99,Retail
841,Toby at Wellsworth Station,18,15,Retail
842,Toddler Build and Play Cubes,17,12.99,Retail
843,Toddler Build and Pull Along,15,14.99,Retail
844,Toruk Makto & Tree of Souls,1212,149.99,Retail
845,Tow Truck,1877,119.99,Retail
846,Tow Truck,129,12.99,Retail
847,Tower Crane & Construction,123,129.99,Retail
848,Tower Target,92,14.99,Retail
849,Town Square,914,119.99,Retail
850,Tracer vs. Widowmaker,129,14.99,Retail
851,Tractor,78,12.99,Retail
852,Traffic Cop,8,1.99,Retail
853,Tranquil Garden,1363,109.99,Retail
854,Tribal Hunter,9,1.99,Retail
855,Triwizard Tournament: The Arrival,1229,139.99,Retail
856,Troll on the Loose,71,10,Retail
857,Trotting Lantern,1295,129.99,Retail
858,Truck,16,14.99,Retail - limited
859,Tusken Raider Encounter,93,10,Retail
860,Twin-Pod Cloud Car,118,10,Retail
861,Twin-rotor Helicopter,145,12.99,Retail
862,Tygurah's Roar,94,10,Retail
863,Tyrannosaurus Rex,23,10,Retail
864,Ultimate Defense,82,15,Retail
865,Unikitty Fun Pack,57,14.99,Retail
866,Urban Avenger vs. Raptor,87,10,Retail - limited
867,Utapau Troopers,83,12.99,Retail
868,V-wing Fighter,118,10,Retail
869,VOLTIX,61,12.99,Retail
870,VTOL Heavy Cargo Spaceship LT81,1365,109.99,Retail
871,Vampire,7,1.99,Retail
872,Venom Mech Armor vs. Miles Morales,134,14.99,Retail
873,Vicious Viper,96,12.99,Retail
874,Viking Boat against the Wyvern Dragon,112,10,Retail - limited
875,Viking Ship and the Midgard Serpent,1192,119.99,Retail
876,Viking Village,2103,129.99,Retail - limited
877,Villain Icons,1540,129.99,Retail
878,Vintage Motorcycle,128,14.99,Retail
879,Vision Command,138,100,Retail
880,Visitor Centre: T. rex & Raptor Attack,693,129.99,Retail
881,Volcano Exploration Base,824,119.99,Retail
882,Volcano Heavy-Lift Helicopter,1277,149.99,Retail - limited
883,Volvo Concept Wheel Loader ZEUX,1167,139.99,Retail
884,Volvo EW160E,1166,119.99,Retail
885,Volvo L120 Electric Wheel Loader,973,119.99,Retail
886,Wake Rider,93,13,Retail
887,War Machine Mech Armor,154,14.99,Retail
888,Waspix,48,12.99,Retail
889,Web Dash,78,12.99,Retail
890,Wedding Bride,306,12.99,Retail - limited
891,Wedding Groom,255,12.99,Retail - limited
892,Weightlifter,8,1.99,Retail
893,Werewolf Ambush,117,10,Retail
894,Wheel Loader,81,14.99,Retail
895,Wheels and Tyres,106,12.99,Retail
896,Whirling Vines,77,14.99,Retail
897,Wicked Witch Fun Pack,38,14.99,Retail
898,Wild Animals of the World,143,129.99,Retail
899,Wild Lion,224,14.99,Retail
900,Wild West Saloon,1496,149.99,Retail - limited
901,Williams F1 Team Racer,1484,129.99,Retail
902,Williams F1 Team Racer,98,13,Retail
903,Wind-Up Motor,41,10,Retail
904,Witch,6,1.99,Retail
905,Witch-king Battle,101,14.99,Retail
906,Wolf Mask Shadow Dojo,1190,119.99,Retail
907,Wonder Woman Fun Pack,41,14.99,Retail
908,World of Bricks,500,10,Retail
909,Wyldstyle,134,14.99,Retail - limited
910,XL Idea Bucket,78,15,Retail - limited
911,XPlode,45,12.99,Retail
912,Yeti's Hideout,107,10,Retail
913,Yoshi Bike,133,14.99,Retail
914,Young Dragon Riyu,132,15.99,Retail
915,Young Simba the Lion King,1445,129.99,Retail
916,Zane - Dragon Master,92,14.99,Retail
917,Zane Fun Pack,45,14.99,Retail
918,Zero Tornado & Hot Rock,71,10,Retail
919,Zombie,6,1.99,Retail
920,Zonic Strike,107,15,Retail
