,SetName,Pieces,USRetailPrice,Availability
140,CHI Vardy,68,14.99,Retail
141,CHI Waterfall,106,14.99,Retail
142,CHI Worriz,55,14.99,Retail
143,CORE HUNTER,51,12.99,Retail
144,CRYSTAL Beast vs. BULK,83,14.99,Retail
145,Caboose,170,15,Retail - limited
146,Candy Kitty Bracelet & Bag Tag,188,14.99,Retail
147,Capital City,1211,149.99,Retail - limited
148,Captain America,44,14.99,Retail
149,Captain America's Avenging Cycle,72,12.99,Retail
150,Captain Rex Y-wing Microfighter,99,12.99,Retail
151,Captain Rex's AT-TE,972,119.99,Retail
152,Captain Toad's Camp,159,14.99,Retail
153,Captain's Cabin,95,11.99,Retail
154,Cargo Plane,1297,139.99,Retail
155,Cargo Train,544,139.99,Retail
156,Cargo Train,105,129.99,Retail
157,Cargo Train Deluxe,856,149.99,Retail
158,Carnage's SHIELD Sky Attack,97,12.99,Retail
159,Cat Playground Adventure,87,10.99,Retail
160,Catwoman Catcycle City Chase,89,12.99,Retail
161,Cavalry Builder Set,69,12.99,Retail
162,Caveman,6,1.99,Retail
163,Celestial Pagoda,1621,149.99,Retail
164,Cement Mixer,213,14.99,Retail
165,Chase McCain Fun Pack,46,14.99,Retail
166,Cheerleader,7,1.99,Retail
167,Cherry Blossoms,438,14.99,Retail
168,Cherry Picker,155,12.99,Retail
169,Chevrolet Camaro ZL1 Race Car,198,14.99,Retail
170,Chevrolet Corvette Z06,173,14.99,Retail
171,Chopper Jump,141,14.99,Retail
172,ChromaStone,21,14.99,Retail
173,Circus Clown,6,1.99,Retail
174,Circus Show,25,14.99,Retail
175,City Garage,933,119.99,Retail - limited
176,Clash of the Heroes,92,12.99,Retail
177,Clone Scout Walker,108,10,Retail
178,Clone Trooper Battle Pack,85,12.99,Retail
179,Clone Troopers vs. Droidekas,124,12.99,Retail
180,Clone Turbo Tank,903,109.99,Retail
181,Clubhouse Cafe,16,12.99,Retail
182,Coast Guard Headquarters,792,119.99,Retail
183,Cockatiel,219,14.99,Retail
184,Cole - Dragon Master,92,14.99,Retail
185,Concrete Mixer Truck,1163,119.99,Retail
186,Conkdor's Noggin Bopper,130,14.99,Retail
187,Construction,160,14.99,Retail
188,Cool Cars,206,12.99,Retail
189,Cool Movers,215,13,Retail
190,Corroder,40,12.99,Retail
191,Coruscant Guard Gunship,1083,139.99,Retail
192,Cowboy,8,1.99,Retail
193,Crafting with Baby Box,60,14.99,Retail
194,Cragger Fun Pack,45,14.99,Retail
